file_name,prompt
encycl_740.jpeg,"Cutaway rendering of a Magnetized Liner Inertial Fusion (MagLIF) load assembly displaying the target, magnetic-field coils, and final transmission line."
papers_3440.jpeg,Sealed experimental section attached to a furnace with molten corium contacting concrete.
web_519.jpeg,Photograph of nuclear icebreaker Ural moving across the sea.
web_13.jpeg,"A model of the ZETA generator, Britain’s first nuclear fusion experiment"
web_28.jpeg,"Westinghouse VVER-440 NOVA E-6 fuel bundles at the Dukovany nuclear facility, Czech Republic."
encycl_335.jpeg,SEALER main system diagram.
web_53.jpeg,TVEL TVS-K PWR fuel assembly showing bundled fuel rods.
malradai_186.jpeg,Indian pool-configuration molten salt breeder reactor.
web_133.jpeg,Internal layout concept of an ALIP MR-12 micro-fission reactor.
web_218.jpeg,BWXT-Crowley floating microreactor vessel concept.
malradai_329.jpeg,Display of the MISTRAL-4 setup.
encycl_675.jpeg,JET tokamak devices.
web_456.jpeg,Michell Bearings-branded bearing assemblies for reactor coolant pumps and other industrial equipment.
web_478.jpeg,Fully assembled VVER-1200 reactor unit at Rooppur in Bangladesh.
web_159.jpeg,Cutaway view of a Pacific Fusion pulsed-power inertial-fusion system.
web_264.jpeg,Reddish trinitite fragments from the 1945 Trinity nuclear test with glassy surfaces and mineral inclusions.
web_3.jpeg,Overhead view of the ZETA nuclear fusion experiment.
web_419.jpeg,Suspended RITM-200 nuclear reactor.
web_508.jpeg,Sanmen 3 core makeup tank B.
web_503.jpeg,A core catcher at Hungary’s Paks II site.
web_69.jpeg,MITR-II research reactor core emitting blue Cherenkov glow.
papers_47607.jpeg,Photograph showing the Passive Nachwärmeabfuhr und Druckabbau Test Anlage facility.
web_379.jpeg,Prototype fuel rods shown for General Atomics' fast modular reactor concept.
web_5.jpeg,A segment of the ITER fusion machine’s vacuum vessel in France.
web_479.jpeg,Zap Energy's compact modular fusion energy prototype device.
web_70.jpeg,Interior of the FRM II high-flux research reactor hall at TUM.
web_493.jpeg,A spent nuclear fuel storage pool at the Sellafield nuclear facility in northwest England.
encycl_810.jpeg,"Diagram of the BR2 reactor illustrating its distinctive layout, with the central beryllium matrix and its 79 irradiation channels visible."
encycl_637.jpeg,JIMO spacecraft heat-pipe-cooled reactor concept.
malradai_326.jpeg,Interior of the control room.
web_533.jpeg,Close-up of nuclear fuel bundles being inserted into the OL3 pressurized water reactor core.
encycl_402.jpeg,CASTOR V/19 bolted steel storage cask.
malradai_299.jpeg,CM2 computer.
web_141.jpeg,Brick-built Studio model of the CROCUS zero-power nuclear fission reactor.
web_220.jpeg,General Fusion PI3 plasma-injector prototype in a magneto-inertial fusion test assembly.
encycl_65.jpeg,Mark I containment arrangement.
web_393.jpeg,The Wendelstein 7-X stellarator at Germany’s Max Planck Institute for Plasma Physics.
malradai_301.jpeg,A 2005 view inside the control room.
encycl_230.jpeg,ACP100 small modular nuclear reactor layout with NPIC/CNNC China identification.
encycl_755.jpeg,Z-pinch fusion facility.
web_347.jpeg,NuScale VOYGR-6 small modular reactor facility at the Doicesti SMR site in Romania.
web_106.jpeg,University of Seville SMART spherical tokamak fusion apparatus.
web_89.jpeg,EAST superconducting tokamak during high-density fusion plasma operation.
web_104.jpeg,First Light Fusion impact-driven inertial fusion system with an amplifier.
web_404.jpeg,Russian T-15 nuclear fusion reactor with inspectors nearby.
